,sold_quantity
23076,0.0
76168,0.0
68946,5.95
30048,0.4
29223,2.25
3725,0.0
81002,0.0
78850,14.3
164327,31.75
122512,4.75
34112,0.0
23934,0.0
24220,0.0
76371,0.0
114534,0.0
103228,0.0
34098,0.0
169065,0.0
134364,0.0
40090,8.0
23114,0.1
70421,2.7
3294,1.3
77193,0.0
163943,0.0
157744,0.8
99214,0.0
142567,19.8
155607,1.65
158535,3.55
126082,17.05
114231,4.15
32998,0.35
71047,0.0
27996,2.35
149040,0.0
7801,0.3
102835,0.0
65902,0.0
163917,0.0
140546,7.25
106118,3.6
45451,15.0
75064,0.05
69944,1.2
45176,0.0
68800,1.0
122008,0.0
115996,1.8
131977,0.55
117459,0.0
75103,5.4
138468,0.0
130015,0.0
120413,0.0
12222,0.65
128055,0.0
43261,0.0
67100,0.0
73968,0.1
134009,0.0
107238,0.25
25113,0.0
92652,1.3
68792,0.0
84017,5.5
15993,0.75
155485,0.0
127599,0.0
38758,0.15
160870,0.0
1686,0.75
84682,9.5
133345,0.0
71908,1.8
137110,0.25
78704,0.0
116886,0.0
26635,0.0
45415,0.0
118136,0.0
26365,0.0
130188,0.65
8241,0.0
111045,0.04
114944,2.75
47468,28.75
58886,0.0
8872,1.55
104041,0.0
86761,0.0
143692,2.25
97218,0.0
59751,3.25
73812,8.6
302,0.0
141475,0.0
63087,0.0
26877,0.0
164774,0.05
158913,0.0
29207,2.25
10941,0.6
168057,0.0
52483,0.3
2657,0.25
108754,0.0
82105,1.9
151888,0.0
19242,0.5
86551,0.0
156583,0.5
121256,0.3
128321,0.0
4266,0.3
85860,2.35
54095,0.0
77459,0.0
54440,0.0
6659,1.0
7643,7.5
13156,0.0
15664,0.0
118738,0.0
424,0.0
22788,0.0
65375,0.2
55718,0.0
151414,0.0
49132,0.0
110953,1.2
31670,0.0
137895,0.0
161292,0.0
123966,2.25
137638,5.55
39592,0.1
160946,0.0
43524,0.0
123938,0.25
41441,0.0
159628,0.0
166562,0.0
127390,0.6
103206,0.15
29398,0.0
21261,0.0
